Group,Sales,Quota,Attainment
A,"33,663.0150","32,379.2120",103.96%
A,"24,959.0850","26,947.0788",92.62%
A,"29,860.9100","27,385.3802",109.04%
A,"24,186.2900","22,628.3960",106.88%
A,"23,180.6700","24,955.3887",92.89%
A,"24,652.1120","25,103.3414",98.20%
A,"23,355.7900","25,552.0955",91.40%
A,"29,650.7150","29,050.5468",102.07%
A,"17,504.8800","17,373.2594",100.76%
A,"19,555.7260","18,765.2988",104.21%
A,"28,004.8100","29,976.2019",93.42%
A,"26,606.5900","26,357.7644",100.94%
A,"14,785.1650","18,109.6207",81.64%
A,"35,443.4500","37,254.5665",95.14%
A,"25,843.3600","26,664.4395",96.92%
A,"17,535.8800","16,421.9151",106.78%
A,"18,520.4900","19,306.4917",95.93%
A,"21,244.9050","19,733.5723",107.66%
A,"33,755.9000","35,632.0112",94.73%
A,"25,428.3300","30,831.6221",82.47%
A,"37,003.7900","39,537.9953",93.59%
A,"20,446.3600","21,319.5331",95.90%
A,"23,781.0700","27,757.1934",85.68%
A,"27,058.4000","30,078.1465",89.96%
A,"16,197.4100","17,143.2077",94.48%
A,"43,144.0600","39,801.7859",108.40%
A,"52,435.5050","51,841.4500",101.15%
A,"15,964.3100","17,314.7660",92.20%
A,"19,056.0400","18,456.7347",103.25%
A,"8,968.5300","10,410.5493",86.15%
A,"22,005.6050","26,142.8181",84.17%
A,"17,455.8550","18,671.4304",93.49%
A,"28,830.4140","28,684.4574",100.51%
A,"24,103.4300","24,445.5781",98.60%
A,"19,437.6300","20,076.4046",96.82%
A,"19,614.2700","16,306.9688",120.28%
A,"14,036.6780","17,330.2056",81.00%
A,"15,018.9150","16,370.3856",91.74%
A,"15,260.3500","13,830.2399",110.34%
A,"14,409.8300","14,802.8396",97.35%
A,"18,385.1400","19,610.5147",93.75%
A,"16,995.7000","16,389.0031",103.70%
A,"16,312.2500","19,056.4824",85.60%
A,"16,101.1150","18,833.5001",85.49%
A,"25,399.2290","26,246.4296",96.77%
A,"27,349.7000","25,605.1570",106.81%
A,"31,131.1550","33,064.0785",94.15%
A,"35,927.0200","37,896.5742",94.80%
A,"31,708.2500","33,989.1748",93.29%
A,"40,152.8680","40,019.0389",100.33%
A,"32,827.3480","36,413.6690",90.15%
A,"30,291.1140","33,916.6669",89.31%
A,"29,396.3700","26,394.5201",111.37%
A,"17,875.7450","18,750.3348",95.34%
A,"33,637.0500","33,374.9274",100.79%
A,"22,747.5400","22,719.0301",100.13%
